,S. No.,Main Topic,Lecture Name (Is order mein shuru karein),Attendance,Unnamed: 4
34,35,Pandas,000. Pandas Basic,,https://drive.google.com/file/d/1MRkzrhwETLHD3cnYDe4j9xCxHQtqou83/view?usp=drive_link
35,36,Pandas,000. Pandas Part 3,,https://drive.google.com/file/d/1w3naV-B0M7vCGHWTXl80JyBH1eRFCevQ/view?usp=drive_link
36,37,Pandas,000. Pandas Advance,,https://drive.google.com/file/d/1CJzl09bV9JBfM8atm5dP4pp5Oha-bfWh/view?usp=drive_link
37,38,Pandas,001. Pandas Part 4,,https://drive.google.com/file/d/1On5TQ_K01olWGCoce2unrqSMakYcqLDR/view?usp=drive_link
38,39,Pandas,002. Pandas Part 5,,https://drive.google.com/file/d/1hJBp3sJ9qCdp2ewwG3f3PmJRUXF9VdnL/view?usp=drive_link
39,S. No.,Main Topic,Lecture Name (Is order mein dekhein),,
40,40,Statistics Intro,000. INTRODUCTION to Statistics,,https://drive.google.com/file/d/1lhv1begYsuDKjbfeObAmz7mbpGWlE4_A/view?usp=drive_link
41,41,Data Types,002. Types of Data,,https://drive.google.com/file/d/1rfKamx1gXQ67-NzMOutOmfXZ26xO3RZt/view?usp=drive_link
42,42,Data Levels,003. Levels of Measurement,,https://drive.google.com/file/d/1J4dWbc7tt9cZl_eld6iAhMBb8ANbZygr/view?usp=drive_link
43,43,Types of Stats,001. Types of Statistics,,https://drive.google.com/file/d/1E4OD5Xoiub7AEYyu5pTEHnU2hFTs08hC/view?usp=drive_link
44,44,Central Tendency,000. Measures of Central Tendency,,https://drive.google.com/file/d/1ZInOF9LknWZB28-2Lvlo3QKRL0NclUk7/view?usp=drive_link
45,45,Central Tendency,001. Measures of Central Tendency Part 2,,https://drive.google.com/file/d/1HnRbF0qeYZ0Rjv7B7Y0m5pfTu8SkOI8w/view?usp=drive_link
46,46,Dispersion,002. Measures of Dispersion,,https://drive.google.com/file/d/1ICrttpfuYoGwUiFh7yUjPwlcJukKlL8o/view?usp=drive_link
47,47,Dispersion,003. Measures of Dispersion Part 2,,https://drive.google.com/file/d/1yHV-4qf-Ql7T-5IX6jJkOMtwwzjXZ2Xi/view?usp=drive_link
48,48,Skewness,006. Histogram & Skewness,,https://drive.google.com/file/d/1Owutz-jUn6UfzoJgVyaycLy0kbFyRpfQ/view?usp=drive_link
49,49,Correlation,000. Covariance And Correlation,,https://drive.google.com/file/d/1Kt0WJPg5ubUCdm7eBB0dKZVJQDuiTQMR/view?usp=drive_link
50,50,Correlation,001. Covariance And Correlation with Python,,https://drive.google.com/file/d/1OkzzNlTKDfrQGRQRIB7h-YjTVAv1dPH-/view?usp=drive_link
51,51,Correlation,"007. Covariance & Correlation (Part 1, 2)",,https://drive.google.com/file/d/1CsROgAP_fPsg9oLXN66mT5sPxk1KAKoE/view?usp=drive_link
52,52,Correlation,008. Covariance & Correlation Part 2,,https://drive.google.com/file/d/17eE6SlX_UW9UVRxCPZLhAbWkAmu2Ws8t/view?usp=drive_link
53,53,Probability,002. Types of Probability Distribution,,https://drive.google.com/file/d/1fj39C_w8qHbNGNRCiOd4sLdvnGAqpsIx/view?usp=drive_link
54,54,Probability,000. Probability_Density_Distribution_Function,,https://drive.google.com/file/d/1O-1_-GFIdYU3ZN8a-COCU35cba45X5Rx/view?usp=drive_link
55,55,Probability,000. Uniform Distribution,,https://drive.google.com/file/d/18qNFX9HQACkZW3SbQ1ty7fsfmMkNzR3L/view?usp=drive_link
56,56,Probability,004. Random Variables,,https://drive.google.com/file/d/1xIJ-A1PF3qQ8cQiSPXISl5SATCfLMOty/view?usp=drive_link
57,57,Distributions,003. Bernoulli Distribution,,https://drive.google.com/file/d/1mxlPPFEz6D9RubQuxOoe2o0VmZOoNyz8/view?usp=drive_link
58,58,Distributions,004. Binomial Distribution,,https://drive.google.com/file/d/1onPnB7VvMutqpfDDnXKMt7RXnegpNMDs/view?usp=drive_link
59,59,Distributions,005. Poisson Distribution,,https://drive.google.com/file/d/1Wjvzm_STLZeZOTgetwSWeWEyUyCBHbX8/view?usp=drive_link
60,60,Distributions,006. Normal or Gaussian Distribution,,https://drive.google.com/file/d/1YP9-uQl8fO6_mJt2VN3qHCfq3qmPULEl/view?usp=drive_link
61,61,CLT,002. Central Limit Theorem,,https://drive.google.com/file/d/1km4fpaFe8dmKcuhS6uHNd-qMEOYqdwgJ/view?usp=drive_link
62,62,Bayes Theorem,003. Bayes Theorem,,https://drive.google.com/file/d/1pZz0raYdCe6qa3Yu7WVxjDJERzJpIjI5/view?usp=drive_link
63,63,Hypothesis Test,001. Hypothesis Testing & Mechanism,,https://drive.google.com/file/d/1zVI-B7I2vWUqPLS2nrd7TwO2tm0QFfZV/view?usp=drive_link
64,64,Z-Test,000. When to use T test vs Z test,,https://drive.google.com/file/d/1rUUoYT2UCUDr1CBGeYvLq2FTmvon3Lmr/view?usp=drive_link
65,65,Z-Test,001. Z Stats & Z Table,,https://drive.google.com/file/d/1ygI4iph4-y2goxD36qGlbykAuQ9UlaWq/view?usp=drive_link
66,66,Z-Test,003. Z Test with Examples,,https://drive.google.com/file/d/1mm2rxx1YMF-Ps_2nmJjiKhd3w5ShbG_Y/view?usp=drive_link
67,67,T-Test,004. Student T Distribution,,https://drive.google.com/file/d/1eaTABaGD2kLD5cDn9UefYoJKuWi7et-4/view?usp=drive_link
68,68,T-Test,005. T Stats & T Test,,https://drive.google.com/file/d/1hvv7_BuQVB0VEEQ9u-ozqmYfKTLI01Qd/view?usp=drive_link
69,69,P-Value,002. P value,,https://drive.google.com/file/d/131X1k9jPzgMvLI0SGoiChMfVEbtaLeNs/view?usp=drive_link
70,70,Errors,001. Type 1 & Type 2 Error,,https://drive.google.com/file/d/1o1bL0tiPeAOYUh1uMV_MvUXpbL4rTPI4/view?usp=drive_link
71,71,Chi-Square,000. What Is Chi Square Test,,https://drive.google.com/file/d/14QfgHljqpsZSH_lqXS1F0xpb-8NgTwbk/view?usp=drive_link
72,72,Chi-Square,001. Chi Square for Goodness of Fit,,https://drive.google.com/file/d/1BVxNeYY6H6aJMW__ssPtobiZtgYxcsL9/view?usp=drive_link
73,73,Chi-Square,002. Chi Square Test with Python,,https://drive.google.com/file/d/1b_FdB0D7_8-fkmRSuoCA8eZ70N-1OKlN/view?usp=drive_link
74,74,ANOVA,000. Anova,,https://drive.google.com/file/d/1j8SL53ql8Xm9kSfotFd6VcF4k99JyB9U/view?usp=drive_link
75,75,ANOVA,001. Assumptions in Anova,,https://drive.google.com/file/d/1Q54vWKxIh8ozZDMoJkKr1ES2juyNoSNX/view?usp=drive_link
76,76,ANOVA,002. Types of Anova,,https://drive.google.com/file/d/11cX7sfKuzSE-cliTS6cv2P-CotmoKDs2/view?usp=drive_link
77,77,ANOVA,003. Partition of variance in Anova,,https://drive.google.com/file/d/1pRqcG8fekKVINlDeMS4Nif2x61b2vm96/view?usp=drive_link
78,78,F-Test,000. F Distribution,,https://drive.google.com/file/d/1IpMW6Y6qvJn72l7qJUDmFkxjlhjZa9KA/view?usp=drive_link
79,79,F-Test,001. Variance Ratio Test ( F test ),,https://drive.google.com/file/d/1AKmNVxRe5--FeooVXhzf5hsV7-rhWb61/view?usp=drive_link
80,80,F-Test,002. F test with Python,,https://drive.google.com/file/d/1lPqAHJNBYatNMkZNVV22RXAHa271SHUO/view?usp=drive_link
81,81,Revision,000. Revision Class Statistics (Yahan tak ka sab revise karein),,
82,82,Missing Data,000. Handling Missing Values,,https://drive.google.com/file/d/1ZKjzLssmd5cudH7PSAFNnExvZOXiug3X/view?usp=drive_link
83,83,Outliers,004. Handling Outliers,,https://drive.google.com/file/d/10Z8hgDhexS4xIcPZewJPkp-JcaDugIRa/view?usp=drive_link
84,84,Interpolation,003. Data Interpolation,,https://drive.google.com/file/d/1OJidiU2I55lkUPrSr1pnNH2a0RCUObsT/view?usp=drive_link
85,85,Web Scraping,000. Web Scrapping introduction,,https://drive.google.com/file/d/1yPx22kvKNEqehvMzD8mqp4J0-zvPO1_A/view?usp=drive_link
86,86,Image Scraping,001. Image Scrapper,,
87,87,Feature Encoding,000. Data Encoding,,https://drive.google.com/file/d/1dbdc4Fw-MY3P5OKnDWi2BAxBfuiBmMY0/view?usp=drive_link
88,88,Feature Encoding,001. Label & Ordinal Encoder,,
89,89,Feature Encoding,001. Nominal or One Hot Encoding,,https://drive.google.com/file/d/1kZqVNrA9vQIfasjN6gw2_8tR-oyXX2y_/view?usp=drive_link
90,90,Feature Encoding,001. Target Guided Ordinal Encoding,,https://drive.google.com/file/d/1QLr3O3ZT21ykAE5Bizy4TQBF0mEYrqVz/view?usp=drive_link
91,91,Feature Scaling,001. Feature Scaling Normalization,,https://drive.google.com/file/d/1nCWBISfIUn3eT7D8D1N0lRvWaXZ8v_3m/view?usp=drive_link
92,92,Feature Scaling,002. Normalization Min Max Scaling,,https://drive.google.com/file/d/1VDdasXpQh4axmG9qb3t7VH2MypxLatDh/view?usp=drive_link
93,93,Feature Scaling,003. Unit Vectors Feature Scaling,,https://drive.google.com/file/d/1Gr_oSWj1J7izqMnka0drGliSnP3QzS8X/view?usp=drive_link
94,94,Feature Engineering,000. Feature Extraction,,https://drive.google.com/file/d/1b8OmqCcXf7ErxZ95CrLcR4iNHHXM3hW1/view?usp=drive_link
95,95,Feature Engineering,000. Feature Selection Update,,https://drive.google.com/file/d/1Z8B7UPQsSY3NeIlmgrTXwqEQMuJEEYHV/view?usp=drive_link
96,96,Live Class,000. Feature Extraction Live Class (Feature Engineering ko samajhne ke liye),,
97,97,Visualization,000. Matplotlib,,https://drive.google.com/file/d/1Ip5jcQTKRCT6M7_ECUEu-2HbO0zhka0h/view?usp=drive_link
98,98,Visualization,000. Seaborn,,https://drive.google.com/file/d/1-xvEBxxhBpO-nfnGG0pqf7SPuDxW4oq5/view?usp=drive_link
99,99,Visualization,000. Bokeh,,https://drive.google.com/file/d/17tHRodv4kB70A8awh7kdVIe8t-8hiM3A/view?usp=drive_link
100,100,EDA Project,000. EDA With Red Wine Data,,https://drive.google.com/file/d/1gKZ9kc3RJJTV8_moTkv_SW5FT-i2Swki/view?usp=drive_link
101,101,EDA Project,000. EDA Flight Price,,https://drive.google.com/file/d/1Jff-TXZPGmZ1rIduNPgaBWlTe1uPdxpP/view?usp=drive_link
102,102,EDA Project,001. EDA Google Playstore,,https://drive.google.com/file/d/13ONGQWqTcS_NfKb1XQQqFcuKMYGfF0Fu/view?usp=drive_link
103,103,EDA Project,001. EDA Student Performance Indicator,,https://drive.google.com/file/d/158LrJJymbTRl18Y45ytY008tWrFhpbsB/view?usp=drive_link
104,104,EDA Project,002. EDA Forest Fires,,https://drive.google.com/file/d/184YK9v-ksn7OEd-cIQqMNMwQWiqh7ska/view?usp=drive_link
105,S. No.,Main Topic,Lecture Name (Is order mein dekhein),,
106,105,ML Intro,000. AI vs ML vs DS,,https://drive.google.com/file/d/1d4Gpq64Qps257d-fn4DJUNnYzKK0K8IQ/view?usp=drive_link
107,106,ML Types,"001. Supervised_, Unsupervised_&_Reinforcement_Learning",,https://drive.google.com/file/d/1qcwacfKYn4xhmFNeQPEsS9tFlwa1QcWy/view?usp=drive_link
108,107,ML Math,000. Mathematical Concepts,,https://drive.google.com/file/d/1Q97-F0hFRoB7DTB01waJ2Y3A7ICc9dkz/view?usp=drive_link
109,108,Model Bias,"000. Variance, Bias, Overfitting & Underfitting",,https://drive.google.com/file/d/1DqFfaomMHdJZYUF70bznqoPavipXPGa1/view?usp=drive_link
110,109,Data Split,"002. Train, Test & Validation",,https://drive.google.com/file/d/1nJm2h6VDHhH5tT0sJImQcpxiEH2i0Hzj/view?usp=drive_link
111,110,Cross Validation,003. Cross Validation & Types,,https://drive.google.com/file/d/1AkTjXbPKfXCHReVz0WzfVn7986MMnPIy/view?usp=drive_link
112,111,Imbalance Data,001. Handling Imbalanced Dataset,,https://drive.google.com/file/d/1dqpjx-n3ygAasX5dOoWU8Or7UKKJqu0q/view?usp=drive_link
113,112,Imbalance Data,002. SMOTE,,https://drive.google.com/file/d/1Dt-TvsFTjPN0fyFef__mX7C-FdKpcCw1/view?usp=drive_link
114,113,Metrics,"002. Performance Metrics Confusion Matrix, Accuracy, Precision",,https://drive.google.com/file/d/1i81QqJzsZ_ifD5aKA0cg7M5HxKbaU4uH/view?usp=drive_link
115,114,Metrics,"001. MSE, MAE & RMSE",,https://drive.google.com/file/d/1r-tVohp66v2bpDEZvxooVqk86nmADbP1/view?usp=drive_link
116,115,Tuning,004. Hyperparameter Tuning,,https://drive.google.com/file/d/1aW1nBtxjHViOQ3DIzXEsMDLqxBbVgam3/view?usp=drive_link
117,116,Lin. Reg.,000. Simple Linear Regression,,https://drive.google.com/file/d/1QF9rMW7LO1LcF6XK-TStpdY6eABxUz3_/view?usp=drive_link
118,117,Lin. Reg.,002. Simple Linear Regression With Python,,https://drive.google.com/file/d/1DronY8KVn1CUSyh77PUo_KmNqwZBbNG7/view?usp=drive_link
119,118,Mult. Reg.,001. Multiple Linear Regression,,https://drive.google.com/file/d/13F73l1x5l0KSuTDt7_EV4kajsDXljB-c/view?usp=drive_link
120,119,Mult. Reg.,003. Multiple Linear Regression,,https://drive.google.com/file/d/1u2jei6DSoBR8d5vm2wNTO2Upww4zwVQb/view?usp=drive_link
121,120,Poly. Reg.,002. Polynomial Linear Regression,,https://drive.google.com/file/d/1iH8DN4N8Wxv4cmPlgxP_RPhq0PnTn8wE/view?usp=drive_link
122,121,Evaluation,000. R squared Adjusted R squared,,https://drive.google.com/file/d/1spg-tcvSxIOG_OTezpJFVvcm8-B962WV/view?usp=drive_link
123,122,Regularization,000. Lasso Regression,,https://drive.google.com/file/d/19ZXuhnlXPqNvj0or81gejWqXsnPb_JFP/view?usp=drive_link
124,123,Regularization,000. Ridge Regression,,https://drive.google.com/file/d/1k4yAdwnyzN6rthSMcscc1mV-dvUewj6w/view?usp=drive_link
125,124,Regularization,000. Elastic Net Regression,,https://drive.google.com/file/d/1E-EYBfQeI4Ny2tlEgvnWfkPD7ly08iTL/view?usp=drive_link
126,125,Regularization,"002. Model_Training_for_Ridge_, Lasso_&_Elastic_Net",,https://drive.google.com/file/d/1MLc1Dmv-L-JqaxyNwShiiUjRtBFcTazC/view?usp=drive_link
127,126,Log. Reg.,000. Logistic Regression Indepth Intuition,,https://drive.google.com/file/d/1vhj-zG6G9BIdUUmnZk-sDMvwWi6V-zof/view?usp=drive_link
128,127,Log. Reg.,005. Logistic Regression Implementation,,https://drive.google.com/file/d/1Y60WpopXZx8-l8V8uzit9tcbFO3nL6m-/view?usp=drive_link
129,128,Log. Reg.,006. Logistic_Regression_Multiclass_Classification,,https://drive.google.com/file/d/1dmdiuv7_UmJ8oq5waoL4i1hoIXzBuBqj/view?usp=drive_link
130,129,Naive Bayes,000. Naive Bayes Indepth Intuition,,https://drive.google.com/file/d/1gnMv71MA9QTl9IEUeUSTp3BsAAazU_i5/view?usp=drive_link
131,130,Naive Bayes,001. Variants Of Naive Bayes Algorithms,,https://drive.google.com/file/d/1UawidCcXWDEBIMpQcfYcQzXU5ZxM0k35/view?usp=drive_link
132,131,Naive Bayes,002. Naive Bayes Practical Implementation,,https://drive.google.com/file/d/1M1x3cgBXQKfnfqlTAkvf92ImNt8MWr6X/view?usp=drive_link
133,132,Dec. Tree,000. Decision Tree Classifier Intuition,,https://drive.google.com/file/d/1Z-RiG_fkzSYyEGS8IVEimBC6LgcUJmHJ/view?usp=drive_link
134,133,Dec. Tree,001. Decision Tree For Numerical Split,,https://drive.google.com/file/d/1qLNXzqF08CieRG89pGtMXycJnYijlwbk/view?usp=drive_link
135,134,Dec. Tree,003. Decision Tree Classifier Implementation,,https://drive.google.com/file/d/1gzf8rTiukjg40dfnHw-OALtbvTIwHzUC/view?usp=drive_link
136,135,Dec. Tree,005. Decision_Tree_Regressor_In-depth_Intuition,,https://drive.google.com/file/d/1aJfGzCUwbIqzjP05iTL8Eu_vXuTMqyme/view?usp=drive_link
137,136,Dec. Tree,006. Decision Tree Regressor Implementation,,https://drive.google.com/file/d/1QYsW46XSXLMmoxcMl494vtYsmxvbQ4Pi/view?usp=drive_link
138,137,Dec. Tree,004. Decision Tree Post Pruning,,https://drive.google.com/file/d/1GHkI5JfHrGTQo-cLIyV5fStK9lhdD0pN/view?usp=drive_link
139,138,Dec. Tree,002. Post_Pruning_And_Prepruning_Decision_Trees,,https://drive.google.com/file/d/1-M3743Uei4YL6PCP2sCwgrIKJt3Ps8hx/view?usp=drive_link
140,139,Ensemble,000. Ensemble Techniques And Bagging,,https://drive.google.com/file/d/1tOs0truZBhTnThQUcycQu-KFFk60Fs8p/view?usp=drive_link
141,140,Ensemble,002. Out Of Bag Score Decision Trees,,https://drive.google.com/file/d/1Vp1kecdDPC3asZGvhZUb0_d6DhgkrovR/view?usp=drive_link
142,141,Ensemble,001. Random Forest Classifier And Regressor,,https://drive.google.com/file/d/1kuY0Pv59ikItwmzCyuPKMP8CRfij_jsB/view?usp=drive_link
143,142,Ensemble,003. Random Forest Practical Implementation,,https://drive.google.com/file/d/1wey4ClFvRG1FmpQaGaYUADxF4-zCIbZy/view?usp=drive_link
144,143,Ensemble,000. Boosting Technique,,https://drive.google.com/file/d/1qf4hlgDEBORfTLuFs0IGu3dJDcbEPK62/view?usp=drive_link
145,144,Ensemble,001. Boosting Technique,,https://drive.google.com/file/d/1JPmWhlNnnwj997-BTLMlMgdCo5WqiKCP/view?usp=drive_link
146,145,Ensemble,002. Gradient Bosting Indepth Intuition,,https://drive.google.com/file/d/1kBiWxxJlrrYwnKtxaI1ysTHOUY-GY7I1/view?usp=drive_link
147,146,Ensemble,003. Xgboost Classification Algorithms,,https://drive.google.com/file/d/1CqcbgBfTJXmSV0nTRzrGo-tLeL1SN7nG/view?usp=drive_link
148,147,Ensemble,004. Xgboost Regresor Algorithm,,https://drive.google.com/file/d/1D92kF4H-L2htcXrapFgRounaiDMb2Dmc/view?usp=drive_link
149,148,SVM,000. Support Vector Classifier Indepth Intuition,,https://drive.google.com/file/d/1KE57OtcAFV2xV5rDtRhj4DFa8UIIWI_p/view?usp=drive_link
150,149,SVM,001. Support Vector Machines Classifier,,https://drive.google.com/file/d/1Ff58wSu6gy9W3gnLS0MJDXhp1eeXszTs/view?usp=drive_link
151,150,SVM,004. SVM Kernels Intuition,,https://drive.google.com/file/d/15tGt3YJd9pCC1b9nZuXyjTYEwsUZzpcy/view?usp=drive_link
152,151,SVM,005. SVM Kernels Implementation,,https://drive.google.com/file/d/1lX73oaC_7VURvQsCcsqd857LKmOOqF_L/view?usp=drive_link
153,152,SVM,002. Support_Vector_Regressor_Indepth_Intuition,,https://drive.google.com/file/d/1Hxf6aZUuCwubogxOgJmOLjtd63n4sKI1/view?usp=drive_link
154,153,SVM,003. Support Vector Regressor Implementation,,https://drive.google.com/file/d/1tup2NF11Lnh2R5OVM77ttiTQwdcHnQWL/view?usp=drive_link
155,154,Revision,000. Revision Class Machine Learning (Core ML poora hone par),,
156,155,PCA,000. Curse Of Dimensionality,,https://drive.google.com/file/d/1QhtG8EkqmrMqECP-dwIlUT-6c-eEBfq6/view?usp=drive_link
157,156,PCA,001. Geometric Intuition Behind PCA,,https://drive.google.com/file/d/1dtjffstVFwg9M7JPgBqKCS-T3iOhv6M5/view?usp=drive_link
158,157,PCA,002. Mathematihcal Intuition Of PCA,,https://drive.google.com/file/d/1EwovgAZVnH32Jb6MiUSpZxlMIwHGXaf8/view?usp=drive_link
159,158,PCA,003. PCA Practical Implementation,,https://drive.google.com/file/d/1IfmL39vb4eWTmDQeUmzdBqyEGUOtCvp2/view?usp=drive_link
160,159,PCA,004. PCA,,https://drive.google.com/file/d/1yD65rvBjh4InZdSLzMtyT-E273g0PR3-/view?usp=drive_link
161,160,K-Means,000. K Means Indepth Intuition,,https://drive.google.com/file/d/1d7-vjTk27UWNqrATinlV1mbQB8GaZuaq/view?usp=drive_link
162,161,K-Means,005. K Means Clustering Implementation,,https://drive.google.com/file/d/1bIYgeM5zBFVO3bKisKVIXa7cWEYq95aP/view?usp=drive_link
163,162,Clustering,002. K Means vs Hierachical Clustering,,https://drive.google.com/file/d/1LPMcPilKFW-yS-ajQxTlw6JU7dBvIl8c/view?usp=drive_link
164,163,Clustering,001. Hierachical Clustering Intuition,,https://drive.google.com/file/d/1vNT6DYTNcws6ks8QPDsOUMykzuEpcQOF/view?usp=drive_link
165,164,Clustering,006. Hierachical Clustering Implementation,,https://drive.google.com/file/d/1Q9xpYl48QU71q6JrXHo17bfsHCWbdwGC/view?usp=drive_link
166,165,Clustering,003. DBSCAN Clustering,,https://drive.google.com/file/d/1W54W9bEfkDPOnyCfG_30rKmqBexZz_TK/view?usp=drive_link
167,166,Clustering,004. Silhouette Score Clustering,,https://drive.google.com/file/d/1oTLQLKvp611OPcv9xqLNYB62EQ5vMjsf/view?usp=drive_link
168,167,Anomaly Det.,000. Anomaly Detection Isolation Fores,,https://drive.google.com/file/d/1cgayyYFLqDJL5BwiXGEc7g9QdB0EOVaA/view?usp=drive_link
169,168,Anomaly Det.,001. DBSCAN Anomaly Detection,,https://drive.google.com/file/d/1Lb1vleglO3hD7Ll3whYmMwtJYimXnA8m/view?usp=drive_link
170,169,Anomaly Det.,007. DBSCAN Algorithms Implementation,,https://drive.google.com/file/d/1t6zcWGkFWijB_sl_h5WKNjHKMruLK6K-/view?usp=drive_link
171,170,Anomaly Det.,002. Local Outlier Factor Anamoly Detection,,https://drive.google.com/file/d/1CLAFy2n4lz6ybd1MJLuQE7qjBpyw1d0N/view?usp=drive_link
172,S. No.,Main Topic,Lecture Name (Is order mein dekhein),,
173,171,DL Intro,000. Intro to Deep Learning & Usecases,,https://drive.google.com/file/d/1-okTtKXIiyI7ZKY9tMkIrjjsr__RnHQO/view?usp=drive_link
174,172,Perceptron,"001. Neural_Network_, Perceptron_&_Mathematical_Explanati",,https://drive.google.com/file/d/1Bm1RiKRtRjwu-1MQ2UJ5Cnjb-lLMmRVm/view?usp=drive_link
175,173,DL Concepts,001. Activation Functions,,https://drive.google.com/file/d/19Nphy0oRrvNn9KYzYFJpAhzbh3Y41dGj/view?usp=drive_link
176,174,DL Concepts,001. Weight Initialisation,,https://drive.google.com/file/d/1F-6pRqwf1oob5CnCoOvcpurA9ihIys4-/view?usp=drive_link
